Series ID,Series Name,Units,Region Name,Region Code,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01
ALPOP,Resident Population by State,Thousands of Persons,Alabama,01,4369.862,4452.173,4467.634,4480.089,4503.491,4530.729,4569.805,4628.981,4672.84,4718.206,4757.938,4785.514,4799.642,4816.632,4831.586,4843.737,4854.803,4866.824,4877.989,4891.628,4907.965,5032.962,5050.058,5076.868,5117.85,5163.055,5193.088
AKPOP,Resident Population by State,Thousands of Persons,Alaska,02,619.500,627.963,633.714,642.337,648.414,659.286,666.946,675.302,680.3,687.455,698.895,713.982,722.349,730.81,737.626,737.075,738.43,742.575,740.983,736.624,733.603,732.906,734.59,733.659,734.654,736.537,737.27
AZPOP,Resident Population by State,Thousands of Persons,Arizona,04,4778.332,5160.586,5273.477,5396.255,5510.364,5652.404,5839.077,6029.141,6167.681,6280.362,6343.154,6407.342,6473.416,6556.344,6634.69,6732.873,6832.81,6944.767,7048.088,7164.228,7291.843,7186.647,7274.022,7370.065,7452.073,7556.424,7623.818
ARPOP,Resident Population by State,Thousands of Persons,Arkansas,05,2551.373,2678.588,2691.571,2705.927,2724.816,2749.686,2781.097,2821.761,2848.65,2874.554,2896.843,2921.998,2941.038,2952.876,2960.459,2968.759,2979.732,2991.815,3003.855,3012.161,3020.985,3014.399,3027.127,3047.429,3069.856,3096.08,3114.791
CAPOP,Resident Population by State,Thousands of Persons,California,06,33145.121,33987.977,34479.458,34871.843,35253.159,35574.576,35827.943,36021.202,36250.311,36604.337,36961.229,37319.55,37636.311,37944.551,38253.768,38586.706,38904.296,39149.186,39337.785,39437.463,39437.61,39527.808,39152.927,39125.347,39181.667,39364.774,39355.309
COPOP,Resident Population by State,Thousands of Persons,Colorado,08,4056.133,4326.921,4425.687,4490.406,4528.732,4575.013,4631.888,4720.423,4803.868,4889.73,4972.195,5047.539,5121.9,5193.66,5270.774,5352.637,5454.328,5543.844,5617.421,5697.155,5758.486,5786.873,5814.368,5853.355,5912.24,5988.502,6012.561
CTPOP,Resident Population by State,Thousands of Persons,Connecticut,09,3282.031,3411.777,3432.835,3458.749,3484.336,3496.094,3506.956,3517.46,3527.27,3545.579,3561.807,3579.173,3588.632,3595.211,3595.792,3595.697,3588.561,3579.83,3575.324,3574.561,3566.022,3579.643,3607.765,3618.707,3641.369,3674.449,3688.496
DEPOP,Resident Population by State,Thousands of Persons,Delaware,10,753.538,786.373,795.699,806.169,818.003,830.803,845.15,859.268,871.749,883.874,891.73,899.647,907.59,915.518,924.062,933.131,942.065,949.989,957.942,966.985,976.668,991.89,1005.13,1020.279,1035.354,1050.123,1059.952
DCPOP,Resident Population by State,Thousands of Persons,District of Columbia,11,519.000,572.046,574.504,573.158,568.502,567.754,567.136,570.681,574.404,580.236,592.228,605.282,620.29,635.737,651.559,663.603,677.014,687.576,697.079,704.147,708.253,670.958,669.637,674.501,682.559,691.31,693.645
FLPOP,Resident Population by State,Thousands of Persons,Florida,12,15111.244,16047.515,16356.966,16689.37,17004.085,17415.318,17842.038,18166.99,18367.842,18527.305,18652.644,18846.143,19055.607,19302.016,19551.678,19853.88,20219.111,20627.237,20977.089,21254.926,21492.056,21591.325,21836.698,22413.989,22929.248,23265.838,23462.518
GAPOP,Resident Population by State,Thousands of Persons,Georgia,13,7788.240,8227.303,8377.038,8508.256,8622.793,8769.252,8925.922,9155.813,9349.988,9504.843,9620.846,9712.209,9803.63,9903.58,9975.592,10071.204,10183.353,10308.442,10417.031,10519.389,10628.02,10732.595,10793.038,10929.992,11063.669,11204.208,11302.748
HIPOP,Resident Population by State,Thousands of Persons,Hawaii,15,1185.497,1213.519,1225.948,1239.613,1251.154,1273.569,1292.729,1309.731,1315.675,1332.213,1346.717,1364.004,1379.562,1395.199,1408.822,1415.335,1422.999,1428.885,1425.763,1423.102,1415.615,1451.13,1446.909,1437.812,1434.95,1434.952,1432.82
IDPOP,Resident Population by State,Thousands of Persons,Idaho,16,1251.700,1299.43,1319.962,1340.372,1363.38,1391.802,1428.241,1468.669,1505.105,1534.32,1554.439,1570.819,1584.272,1595.91,1612.053,1632.248,1652.495,1684.036,1719.745,1752.074,1789.06,1849.328,1904.855,1942.951,1970.497,2000.872,2029.733
ILPOP,Resident Population by State,Thousands of Persons,Illinois,17,12128.370,12434.161,12488.445,12525.556,12556.006,12589.773,12609.903,12643.955,12695.866,12747.038,12796.778,12840.545,12867.783,12883.029,12895.778,12885.092,12859.585,12821.709,12779.893,12724.685,12667.017,12795.348,12703.354,12609.577,12633.389,12703.033,12719.141
INPOP,Resident Population by State,Thousands of Persons,Indiana,18,5942.901,6091.866,6127.76,6155.967,6196.638,6233.007,6278.616,6332.669,6379.599,6424.806,6459.325,6490.555,6517.25,6538.989,6570.575,6596.019,6611.442,6637.898,6662.068,6698.481,6731.01,6790.29,6814.223,6841.491,6881.373,6934.754,6973.333
IAPOP,Resident Population by State,Thousands of Persons,Iowa,19,2869.413,2929.067,2931.997,2934.234,2941.999,2953.635,2964.454,2982.644,2999.212,3016.734,3032.87,3050.819,3066.772,3076.844,3093.935,3110.643,3122.541,3133.21,3143.734,3149.9,3159.596,3191.081,3199.037,3201.89,3214.739,3230.454,3238.387
KSPOP,Resident Population by State,Thousands of Persons,Kansas,20,2654.052,2693.681,2702.162,2713.535,2723.004,2734.373,2745.299,2762.931,2783.785,2808.076,2832.704,2858.266,2869.677,2886.024,2894.306,2901.861,2910.717,2912.977,2910.892,2912.748,2912.635,2938.274,2938.966,2938.034,2949.749,2965.252,2977.22
KYPOP,Resident Population by State,Thousands of Persons,Kentucky,21,3960.825,4049.021,4068.132,4089.875,4117.17,4146.101,4182.742,4219.239,4256.672,4289.878,4317.074,4348.464,4370.817,4387.865,4406.906,4416.992,4429.126,4440.306,4455.59,4464.273,4472.345,4508.271,4508.348,4521.238,4549.953,4584.046,4606.864
LAPOP,Resident Population by State,Thousands of Persons,Louisiana,22,4372.035,4471.885,4477.875,4497.267,4521.042,4552.238,4576.628,4302.665,4375.581,4435.586,4491.648,4544.635,4576.244,4602.067,4626.04,4645.938,4666.998,4681.346,4673.673,4664.45,4658.285,4652.145,4628.595,4600.892,4598.777,4614.878,4618.189
MEPOP,Resident Population by State,Thousands of Persons,Maine,23,1253.040,1277.072,1285.692,1295.96,1306.513,1313.688,1318.787,1323.619,1327.04,1330.509,1329.59,1327.651,1328.473,1328.094,1328.543,1331.217,1329.098,1332.348,1335.743,1340.123,1345.77,1364.546,1379.009,1391.585,1401.992,1408.438,1414.874
MDPOP,Resident Population by State,Thousands of Persons,Maryland,24,5171.634,5311.034,5374.691,5440.389,5496.269,5546.935,5592.379,5627.367,5653.408,5684.965,5730.388,5788.784,5840.241,5888.375,5925.197,5960.064,5988.528,6007.014,6028.186,6042.153,6054.954,6178.387,6176.035,6183.257,6204.927,6245.314,6265.347
MAPOP,Resident Population by State,Thousands of Persons,Massachusetts,25,6175.169,6361.104,6397.634,6417.206,6422.565,6412.281,6403.29,6410.084,6431.559,6468.967,6517.613,6566.44,6614.218,6664.269,6715.158,6764.864,6797.484,6827.28,6863.56,6885.72,6894.883,6985.32,6996.721,7025.465,7073.479,7138.56,7154.084
MIPOP,Resident Population by State,Thousands of Persons,Michigan,26,9863.775,9952.45,9991.12,10015.71,10041.152,10055.315,10051.137,10036.081,10001.284,9946.889,9901.591,9877.597,9883.053,9898.289,9914.802,9932.033,9934.483,9954.117,9976.752,9987.286,9984.795,10072.294,10042.362,10043.906,10062.124,10099.962,10127.884
MNPOP,Resident Population by State,Thousands of Persons,Minnesota,27,4775.508,4933.692,4982.796,5018.935,5053.572,5087.713,5119.598,5163.555,5207.203,5247.018,5281.203,5310.934,5346.62,5377.5,5414.722,5452.665,5484.002,5525.36,5569.283,5608.762,5640.053,5710.562,5714.055,5727.565,5752.998,5797.405,5830.405
MSPOP,Resident Population by State,Thousands of Persons,Mississippi,28,2768.619,2848.353,2852.994,2858.681,2868.312,2889.01,2905.943,2904.978,2928.35,2947.806,2958.774,2970.615,2979.147,2984.599,2989.839,2991.892,2990.231,2990.595,2990.674,2982.879,2978.227,2958.385,2947.603,2941.237,2942.47,2950.172,2954.16
