Date,sectorName,job_posting_index,State/Area,year,month,Total Civilian Labor Force in State/Area,Total Employment in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
1/1/2021,Data & Analytics,82.694516129,Wyoming,2021,1,291074,275532,15542,5.3
1/1/2021,IT Systems & Solutions,80.467741935,Wyoming,2021,1,291074,275532,15542,5.3
1/1/2021,"IT Infrastructure, Operations & Support",82.473548387,Wyoming,2021,1,291074,275532,15542,5.3
1/1/2021,Software Development,90.785483871,Wyoming,2021,1,291074,275532,15542,5.3
2/1/2021,IT Systems & Solutions,93.189285714,Alabama,2021,2,2244575,2157012,87563,3.9
2/1/2021,Data & Analytics,94.291428571,Alabama,2021,2,2244575,2157012,87563,3.9
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Alabama,2021,2,2244575,2157012,87563,3.9
2/1/2021,Software Development,104.1825,Alabama,2021,2,2244575,2157012,87563,3.9
2/1/2021,IT Systems & Solutions,93.189285714,Alaska,2021,2,347691,323370,24321,7
2/1/2021,Data & Analytics,94.291428571,Alaska,2021,2,347691,323370,24321,7
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Alaska,2021,2,347691,323370,24321,7
2/1/2021,Software Development,104.1825,Alaska,2021,2,347691,323370,24321,7
2/1/2021,IT Systems & Solutions,93.189285714,Arizona,2021,2,3516077,3297125,218952,6.2
2/1/2021,Data & Analytics,94.291428571,Arizona,2021,2,3516077,3297125,218952,6.2
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Arizona,2021,2,3516077,3297125,218952,6.2
2/1/2021,Software Development,104.1825,Arizona,2021,2,3516077,3297125,218952,6.2
2/1/2021,IT Systems & Solutions,93.189285714,Arkansas,2021,2,1328014,1264499,63515,4.8
2/1/2021,Data & Analytics,94.291428571,Arkansas,2021,2,1328014,1264499,63515,4.8
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Arkansas,2021,2,1328014,1264499,63515,4.8
2/1/2021,Software Development,104.1825,Arkansas,2021,2,1328014,1264499,63515,4.8
2/1/2021,IT Systems & Solutions,93.189285714,California,2021,2,18740375,17133589,1606786,8.6
2/1/2021,Data & Analytics,94.291428571,California,2021,2,18740375,17133589,1606786,8.6
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,California,2021,2,18740375,17133589,1606786,8.6
2/1/2021,Software Development,104.1825,California,2021,2,18740375,17133589,1606786,8.6
2/1/2021,IT Systems & Solutions,93.189285714,Los Angeles County,2021,2,4937160,4408456,528704,10.7
2/1/2021,Data & Analytics,94.291428571,Los Angeles County,2021,2,4937160,4408456,528704,10.7
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Los Angeles County,2021,2,4937160,4408456,528704,10.7
2/1/2021,Software Development,104.1825,Los Angeles County,2021,2,4937160,4408456,528704,10.7
2/1/2021,IT Systems & Solutions,93.189285714,Colorado,2021,2,3117773,2920686,197087,6.3
2/1/2021,Data & Analytics,94.291428571,Colorado,2021,2,3117773,2920686,197087,6.3
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Colorado,2021,2,3117773,2920686,197087,6.3
2/1/2021,Software Development,104.1825,Colorado,2021,2,3117773,2920686,197087,6.3
2/1/2021,IT Systems & Solutions,93.189285714,Connecticut,2021,2,1808970,1678732,130238,7.2
2/1/2021,Data & Analytics,94.291428571,Connecticut,2021,2,1808970,1678732,130238,7.2
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Connecticut,2021,2,1808970,1678732,130238,7.2
2/1/2021,Software Development,104.1825,Connecticut,2021,2,1808970,1678732,130238,7.2
2/1/2021,IT Systems & Solutions,93.189285714,Delaware,2021,2,492448,463620,28828,5.9
2/1/2021,Data & Analytics,94.291428571,Delaware,2021,2,492448,463620,28828,5.9
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Delaware,2021,2,492448,463620,28828,5.9
2/1/2021,Software Development,104.1825,Delaware,2021,2,492448,463620,28828,5.9
2/1/2021,IT Systems & Solutions,93.189285714,District of Columbia,2021,2,373273,346980,26293,7
2/1/2021,Data & Analytics,94.291428571,District of Columbia,2021,2,373273,346980,26293,7
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,District of Columbia,2021,2,373273,346980,26293,7
2/1/2021,Software Development,104.1825,District of Columbia,2021,2,373273,346980,26293,7
2/1/2021,IT Systems & Solutions,93.189285714,Florida,2021,2,10116143,9557951,558192,5.5
2/1/2021,Data & Analytics,94.291428571,Florida,2021,2,10116143,9557951,558192,5.5
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Florida,2021,2,10116143,9557951,558192,5.5
2/1/2021,Software Development,104.1825,Florida,2021,2,10116143,9557951,558192,5.5
2/1/2021,IT Systems & Solutions,93.189285714,Georgia,2021,2,5158656,4918846,239810,4.6
2/1/2021,Data & Analytics,94.291428571,Georgia,2021,2,5158656,4918846,239810,4.6
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Georgia,2021,2,5158656,4918846,239810,4.6
2/1/2021,Software Development,104.1825,Georgia,2021,2,5158656,4918846,239810,4.6
2/1/2021,IT Systems & Solutions,93.189285714,Hawaii,2021,2,675293,613552,61741,9.1
2/1/2021,Data & Analytics,94.291428571,Hawaii,2021,2,675293,613552,61741,9.1
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Hawaii,2021,2,675293,613552,61741,9.1
2/1/2021,Software Development,104.1825,Hawaii,2021,2,675293,613552,61741,9.1
2/1/2021,IT Systems & Solutions,93.189285714,Idaho,2021,2,918192,880423,37769,4.1
2/1/2021,Data & Analytics,94.291428571,Idaho,2021,2,918192,880423,37769,4.1
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Idaho,2021,2,918192,880423,37769,4.1
2/1/2021,Software Development,104.1825,Idaho,2021,2,918192,880423,37769,4.1
2/1/2021,IT Systems & Solutions,93.189285714,Illinois,2021,2,6284695,5843044,441651,7
2/1/2021,Data & Analytics,94.291428571,Illinois,2021,2,6284695,5843044,441651,7
2/1/2021,"IT Infrastructure, Operations & Support",90.709642857,Illinois,2021,2,6284695,5843044,441651,7
2/1/2021,Software Development,104.1825,Illinois,2021,2,6284695,5843044,441651,7
2/1/2021,IT Systems & Solutions,93.189285714,Indiana,2021,2,3337521,3186718,150803,4.5
2/1/2021,Data & Analytics,94.291428571,Indiana,2021,2,3337521,3186718,150803,4.5
