State/Area,year,month,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,year-2,month-2,Business Job Opening Rate,date,month-1,year-1,Total Job Openings (Non Farm)
Alabama,2017,1,3868959,2206228,57,2086487,53.9,119741,5.4,2017,1,4.6,1/1/2017,1,2017,5617
Alaska,2017,1,546188,361276,66.1,337246,61.7,24030,6.7,2017,1,4.6,1/1/2017,1,2017,5617
Arizona,2017,1,5315001,3208506,60.4,3040323,57.2,168183,5.2,2017,1,4.6,1/1/2017,1,2017,5617
Arkansas,2017,1,2304331,1333689,57.9,1283229,55.7,50460,3.8,2017,1,4.6,1/1/2017,1,2017,5617
California,2017,1,30745927,19132994,62.2,18128436,59,1004558,5.3,2017,1,4.6,1/1/2017,1,2017,5617
Colorado,2017,1,4346336,2918255,67.1,2842343,65.4,75912,2.6,2017,1,4.6,1/1/2017,1,2017,5617
Connecticut,2017,1,2898859,1921297,66.3,1833677,63.3,87620,4.6,2017,1,4.6,1/1/2017,1,2017,5617
Delaware,2017,1,760088,470908,62,449166,59.1,21742,4.6,2017,1,4.6,1/1/2017,1,2017,5617
District of Columbia,2017,1,556803,390694,70.2,366198,65.8,24496,6.3,2017,1,4.6,1/1/2017,1,2017,5617
Florida,2017,1,16675298,9898705,59.4,9436060,56.6,462645,4.7,2017,1,4.6,1/1/2017,1,2017,5617
Georgia,2017,1,7935777,5054953,63.7,4790056,60.4,264897,5.2,2017,1,4.6,1/1/2017,1,2017,5617
Hawaii,2017,1,1121779,698896,62.3,680867,60.7,18029,2.6,2017,1,4.6,1/1/2017,1,2017,5617
Idaho,2017,1,1298590,828467,63.8,799782,61.6,28685,3.5,2017,1,4.6,1/1/2017,1,2017,5617
Illinois,2017,1,10144321,6561466,64.7,6214763,61.3,346703,5.3,2017,1,4.6,1/1/2017,1,2017,5617
Indiana,2017,1,5169475,3319366,64.2,3191170,61.7,128196,3.9,2017,1,4.6,1/1/2017,1,2017,5617
Iowa,2017,1,2455675,1691889,68.9,1635216,66.6,56673,3.3,2017,1,4.6,1/1/2017,1,2017,5617
Kansas,2017,1,2223375,1490813,67.1,1432993,64.5,57820,3.9,2017,1,4.6,1/1/2017,1,2017,5617
Kentucky,2017,1,3476035,2037523,58.6,1934018,55.6,103505,5.1,2017,1,4.6,1/1/2017,1,2017,5617
Louisiana,2017,1,3584369,2103859,58.7,1981915,55.3,121944,5.8,2017,1,4.6,1/1/2017,1,2017,5617
Maine,2017,1,1102317,701296,63.6,676585,61.4,24711,3.5,2017,1,4.6,1/1/2017,1,2017,5617
Maryland,2017,1,4784471,3226423,67.4,3092100,64.6,134323,4.2,2017,1,4.6,1/1/2017,1,2017,5617
Massachusetts,2017,1,5629510,3693139,65.6,3550567,63.1,142572,3.9,2017,1,4.6,1/1/2017,1,2017,5617
Michigan,2017,1,7974986,4898119,61.4,4659222,58.4,238897,4.9,2017,1,4.6,1/1/2017,1,2017,5617
Minnesota,2017,1,4355601,3046821,70,2930380,67.3,116441,3.8,2017,1,4.6,1/1/2017,1,2017,5617
Mississippi,2017,1,2281938,1273483,55.8,1201816,52.7,71667,5.6,2017,1,4.6,1/1/2017,1,2017,5617
Missouri,2017,1,4758767,3055068,64.2,2926318,61.5,128750,4.2,2017,1,4.6,1/1/2017,1,2017,5617
Montana,2017,1,830613,526046,63.3,504201,60.7,21845,4.2,2017,1,4.6,1/1/2017,1,2017,5617
Nebraska,2017,1,1467229,1016947,69.3,985628,67.2,31319,3.1,2017,1,4.6,1/1/2017,1,2017,5617
Nevada,2017,1,2290376,1423972,62.2,1347936,58.9,76036,5.3,2017,1,4.6,1/1/2017,1,2017,5617
New Hampshire,2017,1,1107572,756274,68.3,734224,66.3,22050,2.9,2017,1,4.6,1/1/2017,1,2017,5617
New Jersey,2017,1,7246397,4607318,63.6,4395510,60.7,211808,4.6,2017,1,4.6,1/1/2017,1,2017,5617
New Mexico,2017,1,1628273,947172,58.2,882444,54.2,64728,6.8,2017,1,4.6,1/1/2017,1,2017,5617
New York,2017,1,16166407,9785983,60.5,9324353,57.7,461630,4.7,2017,1,4.6,1/1/2017,1,2017,5617
North Carolina,2017,1,7871164,4823602,61.3,4587484,58.3,236118,4.9,2017,1,4.6,1/1/2017,1,2017,5617
North Dakota,2017,1,586330,414262,70.7,402468,68.6,11794,2.8,2017,1,4.6,1/1/2017,1,2017,5617
Ohio,2017,1,9212905,5791153,62.9,5489730,59.6,301423,5.2,2017,1,4.6,1/1/2017,1,2017,5617
Oklahoma,2017,1,2977148,1810280,60.8,1731013,58.1,79267,4.4,2017,1,4.6,1/1/2017,1,2017,5617
Oregon,2017,1,3304578,2051780,62.1,1967270,59.5,84510,4.1,2017,1,4.6,1/1/2017,1,2017,5617
Pennsylvania,2017,1,10346332,6497414,62.8,6161887,59.6,335527,5.2,2017,1,4.6,1/1/2017,1,2017,5617
Rhode Island,2017,1,879486,566778,64.4,540499,61.5,26279,4.6,2017,1,4.6,1/1/2017,1,2017,5617
South Carolina,2017,1,3867897,2255404,58.3,2156883,55.8,98521,4.4,2017,1,4.6,1/1/2017,1,2017,5617
South Dakota,2017,1,654425,453764,69.3,439687,67.2,14077,3.1,2017,1,4.6,1/1/2017,1,2017,5617
Tennessee,2017,1,5248865,3161588,60.2,3018331,57.5,143257,4.5,2017,1,4.6,1/1/2017,1,2017,5617
Texas,2017,1,20993890,13375477,63.7,12732635,60.6,642842,4.8,2017,1,4.6,1/1/2017,1,2017,5617
Utah,2017,1,2233279,1534672,68.7,1485579,66.5,49093,3.2,2017,1,4.6,1/1/2017,1,2017,5617
Vermont,2017,1,526077,353658,67.2,342662,65.1,10996,3.1,2017,1,4.6,1/1/2017,1,2017,5617
Virginia,2017,1,6588702,4295344,65.2,4124816,62.6,170528,4,2017,1,4.6,1/1/2017,1,2017,5617
Washington,2017,1,5799581,3686194,63.6,3509739,60.5,176455,4.8,2017,1,4.6,1/1/2017,1,2017,5617
West Virginia,2017,1,1467604,781243,53.2,738931,50.3,42312,5.4,2017,1,4.6,1/1/2017,1,2017,5617
Wisconsin,2017,1,4602979,3127673,67.9,3015550,65.5,112123,3.6,2017,1,4.6,1/1/2017,1,2017,5617
Wyoming,2017,1,446719,295543,66.2,281301,63,14242,4.8,2017,1,4.6,1/1/2017,1,2017,5617
Alabama,2017,2,3870425,2206285,57,2091060,54,115225,5.2,2017,2,4.6,2/1/2017,2,2017,5923
Alaska,2017,2,546070,361365,66.2,337475,61.8,23890,6.6,2017,2,4.6,2/1/2017,2,2017,5923
Arizona,2017,2,5321078,3216026,60.4,3049421,57.3,166605,5.2,2017,2,4.6,2/1/2017,2,2017,5923
Arkansas,2017,2,2304789,1335151,57.9,1285311,55.8,49840,3.7,2017,2,4.6,2/1/2017,2,2017,5923
California,2017,2,30760809,19148790,62.3,18165196,59.1,983594,5.1,2017,2,4.6,2/1/2017,2,2017,5923
Colorado,2017,2,4351429,2926209,67.2,2853181,65.6,73028,2.5,2017,2,4.6,2/1/2017,2,2017,5923
Connecticut,2017,2,2899070,1924477,66.4,1837092,63.4,87385,4.5,2017,2,4.6,2/1/2017,2,2017,5923
Delaware,2017,2,760620,471950,62,450321,59.2,21629,4.6,2017,2,4.6,2/1/2017,2,2017,5923
District of Columbia,2017,2,557168,391426,70.3,367009,65.9,24417,6.2,2017,2,4.6,2/1/2017,2,2017,5923
Florida,2017,2,16697260,9917690,59.4,9464994,56.7,452696,4.6,2017,2,4.6,2/1/2017,2,2017,5923
Georgia,2017,2,7943578,5061813,63.7,4801698,60.4,260115,5.1,2017,2,4.6,2/1/2017,2,2017,5923
Hawaii,2017,2,1121794,699271,62.3,681624,60.8,17647,2.5,2017,2,4.6,2/1/2017,2,2017,5923
Idaho,2017,2,1301090,830471,63.8,802450,61.7,28021,3.4,2017,2,4.6,2/1/2017,2,2017,5923
Illinois,2017,2,10143606,6554923,64.6,6218512,61.3,336411,5.1,2017,2,4.6,2/1/2017,2,2017,5923
Indiana,2017,2,5171200,3320361,64.2,3197036,61.8,123325,3.7,2017,2,4.6,2/1/2017,2,2017,5923
Iowa,2017,2,2456212,1690683,68.8,1635408,66.6,55275,3.3,2017,2,4.6,2/1/2017,2,2017,5923
Kansas,2017,2,2223218,1490558,67,1434129,64.5,56429,3.8,2017,2,4.6,2/1/2017,2,2017,5923
Kentucky,2017,2,3476967,2041438,58.7,1938738,55.8,102700,5,2017,2,4.6,2/1/2017,2,2017,5923
Louisiana,2017,2,3583739,2103948,58.7,1984642,55.4,119306,5.7,2017,2,4.6,2/1/2017,2,2017,5923
Maine,2017,2,1102624,701917,63.7,677465,61.4,24452,3.5,2017,2,4.6,2/1/2017,2,2017,5923
Maryland,2017,2,4786494,3232846,67.5,3099918,64.8,132928,4.1,2017,2,4.6,2/1/2017,2,2017,5923
Massachusetts,2017,2,5633146,3701716,65.7,3558580,63.2,143136,3.9,2017,2,4.6,2/1/2017,2,2017,5923
Michigan,2017,2,7977480,4897485,61.4,4667652,58.5,229833,4.7,2017,2,4.6,2/1/2017,2,2017,5923
Minnesota,2017,2,4358467,3052170,70,2938701,67.4,113469,3.7,2017,2,4.6,2/1/2017,2,2017,5923
Mississippi,2017,2,2282027,1273487,55.8,1203266,52.7,70221,5.5,2017,2,4.6,2/1/2017,2,2017,5923
Missouri,2017,2,4759759,3053362,64.1,2928708,61.5,124654,4.1,2017,2,4.6,2/1/2017,2,2017,5923
Montana,2017,2,831364,526882,63.4,505163,60.8,21719,4.1,2017,2,4.6,2/1/2017,2,2017,5923
Nebraska,2017,2,1467893,1017385,69.3,986806,67.2,30579,3,2017,2,4.6,2/1/2017,2,2017,5923
Nevada,2017,2,2293784,1427984,62.3,1352931,59,75053,5.3,2017,2,4.6,2/1/2017,2,2017,5923
New Hampshire,2017,2,1108197,756804,68.3,734811,66.3,21993,2.9,2017,2,4.6,2/1/2017,2,2017,5923
New Jersey,2017,2,7250157,4609280,63.6,4401732,60.7,207548,4.5,2017,2,4.6,2/1/2017,2,2017,5923
New Mexico,2017,2,1628628,947755,58.2,884026,54.3,63729,6.7,2017,2,4.6,2/1/2017,2,2017,5923
New York,2017,2,16168925,9799491,60.6,9344486,57.8,455005,4.6,2017,2,4.6,2/1/2017,2,2017,5923
North Carolina,2017,2,7877977,4829087,61.3,4598476,58.4,230611,4.8,2017,2,4.6,2/1/2017,2,2017,5923
North Dakota,2017,2,586246,414721,70.7,403234,68.8,11487,2.8,2017,2,4.6,2/1/2017,2,2017,5923
Ohio,2017,2,9215072,5798781,62.9,5500476,59.7,298305,5.1,2017,2,4.6,2/1/2017,2,2017,5923
Oklahoma,2017,2,2977156,1810692,60.8,1733336,58.2,77356,4.3,2017,2,4.6,2/1/2017,2,2017,5923
Oregon,2017,2,3308424,2056697,62.2,1974053,59.7,82644,4,2017,2,4.6,2/1/2017,2,2017,5923
Pennsylvania,2017,2,10347665,6501514,62.8,6169098,59.6,332416,5.1,2017,2,4.6,2/1/2017,2,2017,5923
Rhode Island,2017,2,879740,567373,64.5,541572,61.6,25801,4.5,2017,2,4.6,2/1/2017,2,2017,5923
South Carolina,2017,2,3871560,2257293,58.3,2160505,55.8,96788,4.3,2017,2,4.6,2/1/2017,2,2017,5923
South Dakota,2017,2,654897,454090,69.3,440199,67.2,13891,3.1,2017,2,4.6,2/1/2017,2,2017,5923
Tennessee,2017,2,5252990,3165138,60.3,3027509,57.6,137629,4.3,2017,2,4.6,2/1/2017,2,2017,5923
Texas,2017,2,21018517,13399052,63.7,12762728,60.7,636324,4.7,2017,2,4.6,2/1/2017,2,2017,5923
Utah,2017,2,2237721,1539544,68.8,1490531,66.6,49013,3.2,2017,2,4.6,2/1/2017,2,2017,5923
Vermont,2017,2,526263,353982,67.3,343009,65.2,10973,3.1,2017,2,4.6,2/1/2017,2,2017,5923
Virginia,2017,2,6592645,4305591,65.3,4137189,62.8,168402,3.9,2017,2,4.6,2/1/2017,2,2017,5923
Washington,2017,2,5808198,3696053,63.6,3521606,60.6,174447,4.7,2017,2,4.6,2/1/2017,2,2017,5923
West Virginia,2017,2,1466518,780830,53.2,739929,50.5,40901,5.2,2017,2,4.6,2/1/2017,2,2017,5923
Wisconsin,2017,2,4604588,3130817,68,3022127,65.6,108690,3.5,2017,2,4.6,2/1/2017,2,2017,5923
Wyoming,2017,2,446382,295221,66.1,281460,63.1,13761,4.7,2017,2,4.6,2/1/2017,2,2017,5923
Alabama,2017,3,3871980,2206076,57,2095470,54.1,110606,5,2017,3,4.7,3/1/2017,3,2017,5811
Alaska,2017,3,545949,361397,66.2,337593,61.8,23804,6.6,2017,3,4.7,3/1/2017,3,2017,5811
Arizona,2017,3,5327454,3223652,60.5,3058824,57.4,164828,5.1,2017,3,4.7,3/1/2017,3,2017,5811
Arkansas,2017,3,2305410,1336992,58,1287615,55.9,49377,3.7,2017,3,4.7,3/1/2017,3,2017,5811
California,2017,3,30775801,19166879,62.3,18202131,59.1,964748,5,2017,3,4.7,3/1/2017,3,2017,5811
Colorado,2017,3,4356796,2935526,67.4,2864385,65.7,71141,2.4,2017,3,4.7,3/1/2017,3,2017,5811
Connecticut,2017,3,2899334,1926439,66.4,1839434,63.4,87005,4.5,2017,3,4.7,3/1/2017,3,2017,5811
Delaware,2017,3,761208,472919,62.1,451429,59.3,21490,4.5,2017,3,4.7,3/1/2017,3,2017,5811
District of Columbia,2017,3,557494,392114,70.3,367751,66,24363,6.2,2017,3,4.7,3/1/2017,3,2017,5811
Florida,2017,3,16719665,9939194,59.4,9495853,56.8,443341,4.5,2017,3,4.7,3/1/2017,3,2017,5811
Georgia,2017,3,7951844,5069575,63.8,4814134,60.5,255441,5,2017,3,4.7,3/1/2017,3,2017,5811
Hawaii,2017,3,1121798,699458,62.4,682210,60.8,17248,2.5,2017,3,4.7,3/1/2017,3,2017,5811
Idaho,2017,3,1303686,832549,63.9,805197,61.8,27352,3.3,2017,3,4.7,3/1/2017,3,2017,5811
Illinois,2017,3,10143104,6550862,64.6,6221979,61.3,328883,5,2017,3,4.7,3/1/2017,3,2017,5811
Indiana,2017,3,5173137,3322728,64.2,3203831,61.9,118897,3.6,2017,3,4.7,3/1/2017,3,2017,5811
Iowa,2017,3,2456973,1690865,68.8,1636792,66.6,54073,3.2,2017,3,4.7,3/1/2017,3,2017,5811
Kansas,2017,3,2223180,1490797,67.1,1435375,64.6,55422,3.7,2017,3,4.7,3/1/2017,3,2017,5811
Kentucky,2017,3,3478132,2044781,58.8,1942832,55.9,101949,5,2017,3,4.7,3/1/2017,3,2017,5811
Louisiana,2017,3,3583246,2103789,58.7,1987521,55.5,116268,5.5,2017,3,4.7,3/1/2017,3,2017,5811
Maine,2017,3,1103005,702440,63.7,678132,61.5,24308,3.5,2017,3,4.7,3/1/2017,3,2017,5811
Maryland,2017,3,4788523,3238618,67.6,3107122,64.9,131496,4.1,2017,3,4.7,3/1/2017,3,2017,5811
Massachusetts,2017,3,5636878,3709927,65.8,3566378,63.3,143549,3.9,2017,3,4.7,3/1/2017,3,2017,5811
Michigan,2017,3,7980188,4896456,61.4,4676101,58.6,220355,4.5,2017,3,4.7,3/1/2017,3,2017,5811
Minnesota,2017,3,4361495,3057640,70.1,2946919,67.6,110721,3.6,2017,3,4.7,3/1/2017,3,2017,5811
Mississippi,2017,3,2282198,1273512,55.8,1204476,52.8,69036,5.4,2017,3,4.7,3/1/2017,3,2017,5811
Missouri,2017,3,4761103,3052451,64.1,2931437,61.6,121014,4,2017,3,4.7,3/1/2017,3,2017,5811
Montana,2017,3,832153,527826,63.4,506222,60.8,21604,4.1,2017,3,4.7,3/1/2017,3,2017,5811
Nebraska,2017,3,1468671,1018267,69.3,988311,67.3,29956,2.9,2017,3,4.7,3/1/2017,3,2017,5811
Nevada,2017,3,2297275,1432257,62.3,1358112,59.1,74145,5.2,2017,3,4.7,3/1/2017,3,2017,5811
New Hampshire,2017,3,1108909,757373,68.3,735640,66.3,21733,2.9,2017,3,4.7,3/1/2017,3,2017,5811
New Jersey,2017,3,7253703,4612471,63.6,4407830,60.8,204641,4.4,2017,3,4.7,3/1/2017,3,2017,5811
New Mexico,2017,3,1628965,948296,58.2,885740,54.4,62556,6.6,2017,3,4.7,3/1/2017,3,2017,5811
New York,2017,3,16171252,9816438,60.7,9364375,57.9,452063,4.6,2017,3,4.7,3/1/2017,3,2017,5811
North Carolina,2017,3,7885569,4834530,61.3,4609099,58.4,225431,4.7,2017,3,4.7,3/1/2017,3,2017,5811
North Dakota,2017,3,586175,415160,70.8,404053,68.9,11107,2.7,2017,3,4.7,3/1/2017,3,2017,5811
Ohio,2017,3,9217650,5806189,63,5511227,59.8,294962,5.1,2017,3,4.7,3/1/2017,3,2017,5811
Oklahoma,2017,3,2977322,1811936,60.9,1736281,58.3,75655,4.2,2017,3,4.7,3/1/2017,3,2017,5811
Oregon,2017,3,3312397,2063292,62.3,1981655,59.8,81637,4,2017,3,4.7,3/1/2017,3,2017,5811
Pennsylvania,2017,3,10349260,6505628,62.9,6176276,59.7,329352,5.1,2017,3,4.7,3/1/2017,3,2017,5811
Rhode Island,2017,3,879976,567813,64.5,542357,61.6,25456,4.5,2017,3,4.7,3/1/2017,3,2017,5811
South Carolina,2017,3,3875702,2259503,58.3,2164214,55.8,95289,4.2,2017,3,4.7,3/1/2017,3,2017,5811
South Dakota,2017,3,655417,454505,69.3,440777,67.3,13728,3,2017,3,4.7,3/1/2017,3,2017,5811
Tennessee,2017,3,5257423,3169407,60.3,3038175,57.8,131232,4.1,2017,3,4.7,3/1/2017,3,2017,5811
Texas,2017,3,21043641,13421751,63.8,12796301,60.8,625450,4.7,2017,3,4.7,3/1/2017,3,2017,5811
Utah,2017,3,2242286,1544341,68.9,1495332,66.7,49009,3.2,2017,3,4.7,3/1/2017,3,2017,5811
Vermont,2017,3,526466,354222,67.3,343365,65.2,10857,3.1,2017,3,4.7,3/1/2017,3,2017,5811
Virginia,2017,3,6596882,4314559,65.4,4149138,62.9,165421,3.8,2017,3,4.7,3/1/2017,3,2017,5811
Washington,2017,3,5817095,3707001,63.7,3534092,60.8,172909,4.7,2017,3,4.7,3/1/2017,3,2017,5811
West Virginia,2017,3,1465552,780633,53.3,740722,50.5,39911,5.1,2017,3,4.7,3/1/2017,3,2017,5811
Wisconsin,2017,3,4606400,3134796,68.1,3029196,65.8,105600,3.4,2017,3,4.7,3/1/2017,3,2017,5811
Wyoming,2017,3,446060,294896,66.1,281632,63.1,13264,4.5,2017,3,4.7,3/1/2017,3,2017,5811
Alabama,2017,4,3873696,2206288,57,2100100,54.2,106188,4.8,2017,4,4.9,4/1/2017,4,2017,6091
Alaska,2017,4,546058,361331,66.2,337534,61.8,23797,6.6,2017,4,4.9,4/1/2017,4,2017,6091
Arizona,2017,4,5333857,3230973,60.6,3068047,57.5,162926,5,2017,4,4.9,4/1/2017,4,2017,6091
Arkansas,2017,4,2306014,1338968,58.1,1289834,55.9,49134,3.7,2017,4,4.9,4/1/2017,4,2017,6091
California,2017,4,30793248,19187319,62.3,18236856,59.2,950463,5,2017,4,4.9,4/1/2017,4,2017,6091
Colorado,2017,4,4362453,2945918,67.5,2875336,65.9,70582,2.4,2017,4,4.9,4/1/2017,4,2017,6091
Connecticut,2017,4,2899710,1926784,66.4,1840416,63.5,86368,4.5,2017,4,4.9,4/1/2017,4,2017,6091
Delaware,2017,4,761828,473853,62.2,452503,59.4,21350,4.5,2017,4,4.9,4/1/2017,4,2017,6091
District of Columbia,2017,4,557905,392905,70.4,368566,66.1,24339,6.2,2017,4,4.9,4/1/2017,4,2017,6091
Florida,2017,4,16742706,9959824,59.5,9524342,56.9,435482,4.4,2017,4,4.9,4/1/2017,4,2017,6091
Georgia,2017,4,7960646,5078384,63.8,4827169,60.6,251215,4.9,2017,4,4.9,4/1/2017,4,2017,6091
Hawaii,2017,4,1122238,699424,62.3,682587,60.8,16837,2.4,2017,4,4.9,4/1/2017,4,2017,6091
