__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-02-01,US,United States,math,Data & Analytics,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techinfo,IT Systems & Solutions,TOTAL,100
HiringLabSectoralPosting,2020-02-01,US,United States,techsoftware,Software Development,TOTAL,100
HiringLabSectoralPosting,2020-02-02,US,United States,math,Data & Analytics,TOTAL,100.09
HiringLabSectoralPosting,2020-02-02,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.91
HiringLabSectoralPosting,2020-02-02,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.64
HiringLabSectoralPosting,2020-02-02,US,United States,techsoftware,Software Development,TOTAL,99.92
HiringLabSectoralPosting,2020-02-03,US,United States,math,Data & Analytics,TOTAL,100.06
HiringLabSectoralPosting,2020-02-03,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.84
HiringLabSectoralPosting,2020-02-03,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.55
HiringLabSectoralPosting,2020-02-03,US,United States,techsoftware,Software Development,TOTAL,99.88
HiringLabSectoralPosting,2020-02-04,US,United States,math,Data & Analytics,TOTAL,100.07
HiringLabSectoralPosting,2020-02-04,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.68
HiringLabSectoralPosting,2020-02-04,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.36
HiringLabSectoralPosting,2020-02-04,US,United States,techsoftware,Software Development,TOTAL,99.79
HiringLabSectoralPosting,2020-02-05,US,United States,math,Data & Analytics,TOTAL,100.13
HiringLabSectoralPosting,2020-02-05,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.66
HiringLabSectoralPosting,2020-02-05,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.36
HiringLabSectoralPosting,2020-02-05,US,United States,techsoftware,Software Development,TOTAL,99.86
HiringLabSectoralPosting,2020-02-06,US,United States,math,Data & Analytics,TOTAL,100.13
HiringLabSectoralPosting,2020-02-06,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.64
HiringLabSectoralPosting,2020-02-06,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.32
HiringLabSectoralPosting,2020-02-06,US,United States,techsoftware,Software Development,TOTAL,99.93
HiringLabSectoralPosting,2020-02-07,US,United States,math,Data & Analytics,TOTAL,100.22
HiringLabSectoralPosting,2020-02-07,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.6
HiringLabSectoralPosting,2020-02-07,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.34
HiringLabSectoralPosting,2020-02-07,US,United States,techsoftware,Software Development,TOTAL,100.03
HiringLabSectoralPosting,2020-02-08,US,United States,math,Data & Analytics,TOTAL,100.47
HiringLabSectoralPosting,2020-02-08,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.67
HiringLabSectoralPosting,2020-02-08,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.52
HiringLabSectoralPosting,2020-02-08,US,United States,techsoftware,Software Development,TOTAL,100.3
HiringLabSectoralPosting,2020-02-09,US,United States,math,Data & Analytics,TOTAL,100.68
HiringLabSectoralPosting,2020-02-09,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.73
HiringLabSectoralPosting,2020-02-09,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.65
HiringLabSectoralPosting,2020-02-09,US,United States,techsoftware,Software Development,TOTAL,100.54
HiringLabSectoralPosting,2020-02-10,US,United States,math,Data & Analytics,TOTAL,101.09
HiringLabSectoralPosting,2020-02-10,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.82
HiringLabSectoralPosting,2020-02-10,US,United States,techinfo,IT Systems & Solutions,TOTAL,99.84
HiringLabSectoralPosting,2020-02-10,US,United States,techsoftware,Software Development,TOTAL,100.83
HiringLabSectoralPosting,2020-02-11,US,United States,math,Data & Analytics,TOTAL,101.38
HiringLabSectoralPosting,2020-02-11,US,United States,techhelp,"IT Infrastructure, Operations & Support",TOTAL,99.85
