Date,Month,Day,Year,Unemployment_Rate,Age_Group
2000-01-01,1,1,2000,6.7,20 to 24 years
2000-02-01,2,1,2000,5.6,20 to 24 years
2000-06-01,6,1,2000,12.4,20 to 24 years
2000-07-01,7,1,2000,6.2,20 to 24 years
2000-08-01,8,1,2000,6.2,20 to 24 years
2000-09-01,9,1,2000,4.4,20 to 24 years
2000-10-01,10,1,2000,3.6,20 to 24 years
2000-11-01,11,1,2000,5.2,20 to 24 years
2000-12-01,12,1,2000,4.0,20 to 24 years
2001-01-01,1,1,2001,11.7,20 to 24 years
2001-03-01,3,1,2001,6.8,20 to 24 years
2001-05-01,5,1,2001,9.5,20 to 24 years
2001-06-01,6,1,2001,6.1,20 to 24 years
2001-07-01,7,1,2001,16.0,20 to 24 years
2001-08-01,8,1,2001,8.0,20 to 24 years
2001-09-01,9,1,2001,6.9,20 to 24 years
2001-10-01,10,1,2001,2.8,20 to 24 years
2001-11-01,11,1,2001,13.9,20 to 24 years
2001-12-01,12,1,2001,6.0,20 to 24 years
2002-01-01,1,1,2002,9.3,20 to 24 years
2002-02-01,2,1,2002,2.5,20 to 24 years
2002-03-01,3,1,2002,0.7,20 to 24 years
2002-05-01,5,1,2002,10.6,20 to 24 years
2002-06-01,6,1,2002,18.1,20 to 24 years
2002-07-01,7,1,2002,6.5,20 to 24 years
2002-08-01,8,1,2002,5.2,20 to 24 years
2002-09-01,9,1,2002,11.6,20 to 24 years
2002-10-01,10,1,2002,10.8,20 to 24 years
2002-11-01,11,1,2002,13.2,20 to 24 years
2002-12-01,12,1,2002,12.9,20 to 24 years
2003-01-01,1,1,2003,14.0,20 to 24 years
2003-02-01,2,1,2003,3.5,20 to 24 years
2003-04-01,4,1,2003,6.0,20 to 24 years
2003-06-01,6,1,2003,9.6,20 to 24 years
2003-07-01,7,1,2003,2.5,20 to 24 years
2003-09-01,9,1,2003,2.1,20 to 24 years
2003-11-01,11,1,2003,4.8,20 to 24 years
2003-12-01,12,1,2003,1.9,20 to 24 years
2004-01-01,1,1,2004,4.2,20 to 24 years
2004-02-01,2,1,2004,2.5,20 to 24 years
2004-03-01,3,1,2004,1.9,20 to 24 years
2004-06-01,6,1,2004,10.7,20 to 24 years
2004-07-01,7,1,2004,9.7,20 to 24 years
2004-08-01,8,1,2004,6.0,20 to 24 years
2004-11-01,11,1,2004,3.6,20 to 24 years
2004-12-01,12,1,2004,2.4,20 to 24 years
2005-01-01,1,1,2005,5.7,20 to 24 years
2005-02-01,2,1,2005,3.2,20 to 24 years
2005-03-01,3,1,2005,3.7,20 to 24 years
2005-04-01,4,1,2005,7.9,20 to 24 years
2005-05-01,5,1,2005,10.3,20 to 24 years
2005-06-01,6,1,2005,4.3,20 to 24 years
2005-07-01,7,1,2005,6.2,20 to 24 years
2005-10-01,10,1,2005,6.4,20 to 24 years
2005-12-01,12,1,2005,5.8,20 to 24 years
2006-01-01,1,1,2006,14.1,20 to 24 years
2006-02-01,2,1,2006,7.1,20 to 24 years
2006-03-01,3,1,2006,6.1,20 to 24 years
2006-04-01,4,1,2006,14.5,20 to 24 years
2006-05-01,5,1,2006,8.3,20 to 24 years
2006-06-01,6,1,2006,5.2,20 to 24 years
2006-07-01,7,1,2006,0.4,20 to 24 years
2006-08-01,8,1,2006,10.5,20 to 24 years
2006-09-01,9,1,2006,6.7,20 to 24 years
2006-10-01,10,1,2006,9.2,20 to 24 years
2006-11-01,11,1,2006,13.8,20 to 24 years
2006-12-01,12,1,2006,7.6,20 to 24 years
2007-01-01,1,1,2007,4.7,20 to 24 years
2007-02-01,2,1,2007,0.3,20 to 24 years
2007-06-01,6,1,2007,20.5,20 to 24 years
2007-07-01,7,1,2007,12.0,20 to 24 years
2007-08-01,8,1,2007,3.7,20 to 24 years
2007-09-01,9,1,2007,6.4,20 to 24 years
2007-10-01,10,1,2007,1.9,20 to 24 years
2007-11-01,11,1,2007,2.1,20 to 24 years
2007-12-01,12,1,2007,3.5,20 to 24 years
2008-01-01,1,1,2008,7.0,20 to 24 years
2008-02-01,2,1,2008,5.4,20 to 24 years
2008-03-01,3,1,2008,8.6,20 to 24 years
2008-05-01,5,1,2008,12.1,20 to 24 years
2008-06-01,6,1,2008,5.4,20 to 24 years
2008-07-01,7,1,2008,8.6,20 to 24 years
2008-08-01,8,1,2008,4.1,20 to 24 years
2008-09-01,9,1,2008,10.2,20 to 24 years
2008-10-01,10,1,2008,12.8,20 to 24 years
2008-11-01,11,1,2008,9.8,20 to 24 years
2008-12-01,12,1,2008,5.3,20 to 24 years
2009-01-01,1,1,2009,6.4,20 to 24 years
2009-02-01,2,1,2009,3.4,20 to 24 years
2009-03-01,3,1,2009,3.5,20 to 24 years
2009-04-01,4,1,2009,4.2,20 to 24 years
2009-05-01,5,1,2009,11.2,20 to 24 years
2009-06-01,6,1,2009,13.7,20 to 24 years
2009-07-01,7,1,2009,9.1,20 to 24 years
2009-08-01,8,1,2009,9.3,20 to 24 years
2009-09-01,9,1,2009,10.1,20 to 24 years
2009-10-01,10,1,2009,6.4,20 to 24 years
2009-11-01,11,1,2009,8.6,20 to 24 years
2009-12-01,12,1,2009,9.3,20 to 24 years
2010-01-01,1,1,2010,9.3,20 to 24 years
2010-02-01,2,1,2010,4.8,20 to 24 years
2010-03-01,3,1,2010,1.9,20 to 24 years
2010-05-01,5,1,2010,2.4,20 to 24 years
2010-06-01,6,1,2010,10.5,20 to 24 years
2010-07-01,7,1,2010,6.4,20 to 24 years
2010-08-01,8,1,2010,16.1,20 to 24 years
2010-09-01,9,1,2010,12.3,20 to 24 years
2010-10-01,10,1,2010,11.9,20 to 24 years
2010-11-01,11,1,2010,10.5,20 to 24 years
2010-12-01,12,1,2010,0.9,20 to 24 years
2011-01-01,1,1,2011,9.0,20 to 24 years
2011-02-01,2,1,2011,2.8,20 to 24 years
2011-03-01,3,1,2011,3.3,20 to 24 years
2011-05-01,5,1,2011,4.2,20 to 24 years
2011-06-01,6,1,2011,9.4,20 to 24 years
2011-07-01,7,1,2011,10.1,20 to 24 years
2011-08-01,8,1,2011,10.6,20 to 24 years
2011-09-01,9,1,2011,4.0,20 to 24 years
2011-10-01,10,1,2011,4.3,20 to 24 years
2011-11-01,11,1,2011,0.7,20 to 24 years
2011-12-01,12,1,2011,2.6,20 to 24 years
2012-01-01,1,1,2012,1.5,20 to 24 years
2012-02-01,2,1,2012,9.7,20 to 24 years
2012-03-01,3,1,2012,3.8,20 to 24 years
2012-04-01,4,1,2012,9.4,20 to 24 years
2012-06-01,6,1,2012,6.4,20 to 24 years
2012-07-01,7,1,2012,7.4,20 to 24 years
2012-08-01,8,1,2012,3.2,20 to 24 years
2012-09-01,9,1,2012,5.1,20 to 24 years
2012-10-01,10,1,2012,11.1,20 to 24 years
2012-11-01,11,1,2012,7.1,20 to 24 years
2012-12-01,12,1,2012,2.5,20 to 24 years
2013-01-01,1,1,2013,4.6,20 to 24 years
2013-02-01,2,1,2013,7.3,20 to 24 years
2013-04-01,4,1,2013,2.6,20 to 24 years
2013-05-01,5,1,2013,4.3,20 to 24 years
2013-06-01,6,1,2013,4.4,20 to 24 years
2013-07-01,7,1,2013,5.9,20 to 24 years
2013-08-01,8,1,2013,17.2,20 to 24 years
2013-09-01,9,1,2013,6.2,20 to 24 years
2013-10-01,10,1,2013,5.9,20 to 24 years
2013-11-01,11,1,2013,4.0,20 to 24 years
2013-12-01,12,1,2013,1.9,20 to 24 years
2014-01-01,1,1,2014,8.6,20 to 24 years
2014-02-01,2,1,2014,9.1,20 to 24 years
2014-03-01,3,1,2014,12.3,20 to 24 years
2014-04-01,4,1,2014,4.2,20 to 24 years
2014-05-01,5,1,2014,6.0,20 to 24 years
2014-06-01,6,1,2014,15.4,20 to 24 years
2014-07-01,7,1,2014,12.5,20 to 24 years
2014-08-01,8,1,2014,1.2,20 to 24 years
2014-09-01,9,1,2014,4.2,20 to 24 years
2014-10-01,10,1,2014,4.1,20 to 24 years
2014-11-01,11,1,2014,5.9,20 to 24 years
2014-12-01,12,1,2014,6.6,20 to 24 years
2015-01-01,1,1,2015,5.0,20 to 24 years
2015-02-01,2,1,2015,2.9,20 to 24 years
2015-03-01,3,1,2015,5.4,20 to 24 years
2015-04-01,4,1,2015,5.0,20 to 24 years
2015-05-01,5,1,2015,2.0,20 to 24 years
2015-06-01,6,1,2015,18.8,20 to 24 years
2015-07-01,7,1,2015,14.3,20 to 24 years
2015-08-01,8,1,2015,9.9,20 to 24 years
2015-09-01,9,1,2015,0.4,20 to 24 years
2015-10-01,10,1,2015,6.9,20 to 24 years
2015-11-01,11,1,2015,7.0,20 to 24 years
2015-12-01,12,1,2015,7.3,20 to 24 years
2016-01-01,1,1,2016,8.9,20 to 24 years
2016-02-01,2,1,2016,7.3,20 to 24 years
2016-03-01,3,1,2016,8.8,20 to 24 years
2016-04-01,4,1,2016,3.9,20 to 24 years
2016-05-01,5,1,2016,1.3,20 to 24 years
2016-06-01,6,1,2016,11.8,20 to 24 years
2016-07-01,7,1,2016,11.5,20 to 24 years
2016-08-01,8,1,2016,6.2,20 to 24 years
2016-09-01,9,1,2016,4.9,20 to 24 years
2016-10-01,10,1,2016,5.0,20 to 24 years
2016-11-01,11,1,2016,4.9,20 to 24 years
2016-12-01,12,1,2016,1.8,20 to 24 years
2017-01-01,1,1,2017,5.0,20 to 24 years
2017-02-01,2,1,2017,5.0,20 to 24 years
2017-04-01,4,1,2017,0.3,20 to 24 years
2017-05-01,5,1,2017,9.3,20 to 24 years
2017-06-01,6,1,2017,6.1,20 to 24 years
2017-07-01,7,1,2017,1.8,20 to 24 years
2017-08-01,8,1,2017,4.8,20 to 24 years
2017-09-01,9,1,2017,5.4,20 to 24 years
2017-10-01,10,1,2017,14.0,20 to 24 years
2017-11-01,11,1,2017,5.4,20 to 24 years
